trips
1
1
6
7
2
2
1
17
6
2
2
1
1
4
2
1
2
3
1
2
18
3
1
1
1
1
2
1
11
7
4
1
15
2
1
1
13
14
1
1
2
4
2
1
5
2
2
2
7
1
1
4
1
1
5
3
1
4
1
2
6
5
6
5
5
7
2
2
2
3
1
20
1
1
14
2
11
1
3
4
1
39
3
3
2
3
1
1
1
1
2
5
1
2
1
1
6
2
1
2
2
10
1
1
4
2
6
4
1
1
1
7
1
2
2
3
6
6
3
1
12
15
1
3
1
3
1
1
2
5
18
1
6
20
7
6
1
1
1
1
1
27
2
2
8
1
2
2
5
3
4
1
11
2
1
1
1
2
6
1
2
2
9
9
1
6
5
21
2
9
1
1
13
4
1
30
1
1
11
4
14
5
11
8
5
2
7
4
7
9
23
1
1
1
4
2
11
15
1
1
2
15
2
1
12
1
1
2
2
2
2
4
3
2
1
2
1
5
1
1
16
18
1
4
1
2
1
3
14
10
5
1
7
6
2
1
1
2
1
2
4
8
1
2
1
9
4
1
15
1
6
12
16
38
1
5
2
1
1
5
3
4
4
20
3
4
9
7
9
9
4
7
1
2
1
1
11
2
2
15
3
4
8
1
12
7
6
5
28
8
1
5
5
16
2
1
26
3
6
3
1
3
10
16
2
3
7
2
16
2
2
6
10
10
10
2
20
1
3
26
5
4
1
2
7
2
3
1
1
12
1
1
1
13
6
2
4
3
26
1
10
1
7
24
5
2
2
1
29
3
1
3
2
4
2
1
17
1
11
5
15
16
2
2
1
1
2
2
19
1
1
1
27
12
1
64
8
7
7
1
20
5
14
4
20
11
8
3
4
2
3
7
5
3
15
17
1
13
3
6
1
4
2
1
4
4
16
4
3
1
4
2
4
4
9
10
1
2
8
2
1
1
4
3
1
1
43
7
11
2
1
6
5
2
1
1
5
1
4
3
3
1
3
16
5
39
2
1
2
3
7
4
32
2
4
3
1
2
1
10
2
3
8
2
1
1
5
1
5
4
2
5
5
2
3
1
10
17
1
1
8
13
5
1
1
1
2
8
1
20
9
10
1
10
5
5
4
1
4
1
1
1
1
1
1
1
22
8
33
1
4
15
1
1
22
2
20
3
3
2
3
12
1
3
3
1
1
1
10
1
4
4
2
2
3
6
9
6
1
5
33
17
1
7
1
2
1
1
1
12
1
22
3
1
1
1
3
2
9
1
1
6
3
1
8
1
2
10
16
1
13
2
4
9
4
1
1
1
1
2
2
20
2
28
1
17
24
3
3
15
18
1
2
13
3
3
5
2
1
14
1
1
19
2
1
3
2
4
1
13
1
27
1
2
1
1
1
22
1
6
4
2
1
1
1
1
6
1
5
1
1
13
2
1
2
6
1
2
2
11
2
1
1
1
17
1
2
1
20
6
2
10
5
45
1
7
2
1
7
15
3
8
37
4
1
1
5
4
4
19
35
2
14
4
1
1
1
2
7
8
10
17
2
2
2
7
7
1
1
34
12
1
21
1
2
1
8
21
1
14
1
9
1
11
1
3
1
3
4
7
1
1
5
7
2
4
3
1
4
3
7
2
2
1
1
2
6
7
4
25
1
1
1
2
1
2
6
1
1
15
5
2
1
6
30
4
3
7
5
4
1
1
1
1
1
36
1
8
2
1
2
7
2
1
12
1
