rideable_type,day_of_week,month,season,trip_duration_mins,hour,trips,day_of_month
0,0,2,0,5,0,6,19
0,3,12,0,10,1,1,27
0,1,1,0,28,16,1,23
0,3,1,0,5,1,1,4
0,3,6,2,20,18,5,14
1,4,11,3,38,8,1,9
1,6,6,2,32,2,1,3
1,5,9,3,44,7,1,8
0,3,3,1,18,18,8,8
1,2,6,2,22,14,6,20
1,2,3,1,22,6,2,21
0,6,5,1,12,14,18,27
0,5,9,3,21,15,6,29
0,5,6,2,15,18,20,30
0,1,6,2,21,14,3,12
0,5,5,1,16,10,3,19
1,6,9,3,17,18,8,2
0,1,9,3,19,9,2,25
0,1,1,0,12,10,3,23
