rideable_type,day_of_week,month,season,trip_duration_mins,hour,trips,day_of_month
0,1,6,2,97,21,1,5
1,0,2,0,10,13,5,26
1,5,8,2,79,23,1,4
0,4,5,1,4,22,11,18
1,3,12,0,7,23,1,13
0,0,5,1,4,7,8,7
0,2,7,2,12,6,3,25
0,5,6,2,34,13,1,9
1,6,5,1,37,9,3,20
1,2,11,3,26,11,1,21
1,1,10,3,14,21,1,16
1,2,5,1,6,21,13,30
0,1,7,2,12,14,11,3
0,5,8,2,63,21,1,11
0,6,3,1,3,14,13,4
1,6,6,2,11,2,1,3
0,3,11,3,8,22,1,29
1,5,1,0,149,13,1,20
1,4,8,2,29,21,2,24
1,3,8,2,36,18,5,16
1,1,2,0,2,14,13,13
1,5,3,1,28,13,1,24
1,4,4,1,20,8,1,6
1,6,8,2,48,17,3,19
0,3,6,2,51,14,1,28
0,2,6,2,20,15,3,20
1,3,1,0,8,16,19,4
1,3,7,2,12,21,13,26
0,1,9,3,58,13,1,18
0,4,11,3,6,3,1,16
1,3,6,2,25,11,5,21
1,5,8,2,7,1,3,4
1,5,2,0,10,21,1,17
0,4,9,3,17,12,2,28
1,1,7,2,12,11,7,17
0,3,4,1,38,14,1,26
0,0,9,3,7,23,8,17
1,2,8,2,7,19,42,15
1,2,7,2,43,9,1,18
1,5,3,1,8,11,2,24
1,6,10,3,20,13,15,21
1,0,1,0,27,16,2,15
1,5,4,1,16,7,2,28
1,0,12,0,8,12,4,31
0,0,4,1,34,19,1,30
1,0,12,0,11,13,6,24
0,6,4,1,53,20,1,15
0,5,6,2,7,12,34,30
1,5,11,3,46,11,4,17
0,5,11,3,12,15,11,3
0,0,10,3,26,2,1,1
1,5,1,0,31,16,1,20
1,5,2,0,12,20,1,10
0,5,6,2,42,13,2,9
1,4,7,2,7,7,7,6
0,6,5,1,3,16,13,20
0,4,8,2,22,10,2,10
1,6,4,1,14,13,2,8
0,2,8,2,24,16,3,29
0,1,9,3,23,3,1,18
1,6,5,1,3,10,5,6
0,1,4,1,8,0,1,10
0,1,4,1,20,21,1,10
0,4,6,2,39,16,1,22
1,5,9,3,22,14,3,29
1,4,7,2,25,16,9,6
1,5,5,1,29,13,2,26
0,1,7,2,35,12,1,10
1,4,7,2,3,12,22,20
1,5,11,3,38,17,2,24
1,3,10,3,12,7,11,25
1,1,5,1,49,11,2,29
0,3,2,0,6,8,10,1
0,1,12,0,7,22,1,18
0,0,4,1,49,19,1,9
1,2,9,3,41,20,1,12
1,0,11,3,34,16,2,19
0,6,9,3,7,23,11,2
0,4,4,1,2,12,14,20
0,1,2,0,9,16,8,6
1,0,7,2,34,10,4,30
1,3,8,2,29,13,1,30
0,6,8,2,24,20,4,5
1,2,7,2,91,11,1,18
1,6,6,2,4,18,13,10
1,1,10,3,5,23,5,23
1,2,4,1,35,10,1,11
0,6,4,1,13,11,24,15
1,0,4,1,12,8,4,30
1,3,9,3,2,10,11,6
0,2,2,0,9,8,3,21
0,4,3,1,3,7,5,23
1,5,6,2,79,13,2,23
1,4,8,2,131,17,1,3
0,3,11,3,16,22,1,15
0,0,8,2,49,14,2,27
1,5,11,3,61,17,1,10
0,4,2,0,13,12,3,2
0,0,8,2,67,18,1,13
0,5,10,3,22,12,1,20
1,3,10,3,27,23,2,18
0,3,6,2,43,22,1,21
1,4,5,1,21,10,3,25
1,3,12,0,38,10,1,13
0,1,2,0,22,17,1,13
1,3,8,2,30,10,2,2
1,5,9,3,24,19,5,29
0,3,8,2,6,19,25,23
1,1,3,1,10,12,8,6
0,3,4,1,21,17,1,5
1,3,8,2,79,14,1,16
0,0,6,2,46,5,1,4
0,2,8,2,23,16,5,8
1,6,5,1,9,19,17,6
0,1,12,0,5,14,23,4
1,4,7,2,42,9,2,6
0,0,7,2,3,13,1,2
1,2,10,3,5,20,3,31
0,1,11,3,23,21,2,13
1,6,7,2,71,19,1,22
1,1,1,0,16,21,3,9
1,6,6,2,7,2,1,17
1,0,6,2,20,17,16,4
0,1,4,1,6,7,4,24
0,5,3,1,13,15,9,24
0,0,5,1,17,11,4,14
0,1,3,1,26,21,1,20
1,3,8,2,57,15,6,2
1,6,6,2,48,12,2,3
1,1,6,2,9,0,2,26
1,4,9,3,2,1,2,7
0,5,8,2,7,1,5,11
0,6,9,3,40,17,2,30
0,0,5,1,2,15,6,14
1,5,7,2,10,12,8,28
1,2,10,3,6,0,1,3
1,1,12,0,25,15,1,25
1,6,4,1,18,12,2,29
1,2,6,2,3,18,3,27
1,1,11,3,2,21,8,20
0,1,6,2,15,5,1,26
1,6,7,2,33,4,1,8
1,4,6,2,56,18,1,1
0,0,4,1,62,22,1,9
1,2,9,3,71,13,1,12
0,3,1,0,16,23,1,18
1,1,1,0,22,10,1,2
1,3,6,2,50,17,1,21
0,0,12,0,20,11,1,3
1,3,9,3,42,9,1,6
0,5,1,0,8,19,2,27
0,5,9,3,11,9,8,8
1,6,9,3,9,11,32,23
0,2,2,0,25,22,1,14
0,5,5,1,41,12,1,19
0,5,9,3,22,10,4,29
1,2,6,2,80,19,1,20
1,6,5,1,67,20,1,20
1,2,10,3,31,18,2,24
0,6,9,3,7,13,31,23
1,5,7,2,17,10,3,28
0,6,8,2,39,21,1,26
1,0,10,3,24,12,8,8
0,1,6,2,23,14,3,19
0,4,11,3,16,12,2,2
1,3,11,3,30,22,1,1
0,5,3,1,19,11,3,17
0,3,5,1,33,23,1,3
0,0,9,3,11,13,13,3
0,4,8,2,19,9,4,17
1,1,12,0,23,22,1,4
0,2,1,0,18,19,1,31
0,4,3,1,24,19,2,30
1,1,8,2,20,22,2,7
1,4,4,1,24,20,1,27
0,3,3,1,3,15,21,22
0,1,12,0,21,15,1,25
