rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
1,1,5,1,0,43,18,27
0,0,1,8,2,33,19,28
1,0,2,5,1,92,17,16
0,1,0,12,0,8,0,10
1,0,3,7,2,52,19,19
1,1,6,1,0,20,22,7
0,1,3,8,2,15,4,9
1,1,1,9,3,30,12,4
1,0,6,10,3,63,20,14
0,0,1,9,3,6,16,4
1,0,1,9,3,116,11,4
1,1,4,12,0,27,19,7
1,1,1,10,3,7,8,9
0,0,3,11,3,10,14,8
0,0,1,10,3,35,10,23
1,0,0,1,0,13,16,8
1,0,5,8,2,53,14,25
0,0,2,8,2,19,17,1
1,0,2,7,2,13,17,18
