rideable_type,member_casual,day_of_week,month,season,trip_duration_mins,hour,day_of_month
1,1,6,1,0,27,9,21
0,0,0,6,2,14,16,4
0,0,2,9,3,7,20,5
1,1,0,12,0,23,9,3
1,1,1,8,2,10,22,7
1,0,0,2,0,17,13,12
0,0,5,8,2,49,23,11
0,1,5,7,2,6,19,21
1,0,3,7,2,29,17,26
1,0,6,4,1,32,11,8
0,1,6,11,3,14,19,25
1,0,0,5,1,29,13,21
1,1,1,6,2,17,9,19
0,1,4,6,2,18,12,29
0,0,3,4,1,9,7,26
1,1,4,8,2,35,6,10
0,0,1,5,1,15,22,22
1,0,5,6,2,12,22,2
0,1,3,4,1,2,2,12
0,0,4,1,0,11,9,5
0,0,0,6,2,7,23,4
1,0,0,4,1,17,16,9
1,1,6,8,2,23,9,19
0,1,2,3,1,50,16,21
1,1,3,10,3,78,19,18
0,0,2,10,3,86,11,10
1,1,6,7,2,61,10,29
0,1,1,8,2,18,17,7
0,1,6,7,2,52,9,29
0,0,4,5,1,12,12,4
0,1,3,2,0,17,11,22
1,1,6,4,1,21,17,15
1,1,0,2,0,65,7,19
0,1,0,10,3,26,18,22
1,1,4,1,0,5,10,19
1,1,3,9,3,21,9,20
0,1,5,5,1,23,5,26
0,0,4,8,2,12,10,17
0,1,1,5,1,30,17,22
1,1,1,1,0,23,18,16
1,1,5,6,2,39,14,2
0,1,5,11,3,14,14,17
1,0,2,7,2,28,17,4
1,1,0,8,2,30,16,6
1,1,5,12,0,32,19,29
1,0,0,7,2,35,17,30
0,0,4,4,1,29,0,13
1,0,6,10,3,10,13,28
0,0,6,1,0,8,7,14
1,1,1,4,1,21,20,10
1,0,4,8,2,18,17,31
0,0,2,8,2,16,9,29
0,1,6,10,3,45,13,21
1,0,5,12,0,43,10,15
0,1,5,1,0,19,11,20
1,0,5,4,1,44,20,14
1,0,1,12,0,58,9,4
1,0,3,1,0,12,8,4
0,0,4,6,2,17,13,15
1,1,2,5,1,24,10,23
0,0,1,8,2,14,22,7
1,0,5,9,3,15,16,1
0,1,2,6,2,20,23,6
1,1,3,12,0,14,6,27
0,1,2,12,0,2,17,26
0,1,6,8,2,89,14,12
1,0,0,8,2,59,22,20
0,1,2,3,1,12,22,28
1,0,1,4,1,10,9,3
0,0,0,8,2,31,7,27
1,1,6,7,2,11,8,1
0,1,6,4,1,9,21,1
1,1,1,7,2,26,20,3
0,0,2,7,2,15,16,11
1,1,4,11,3,13,22,16
0,1,0,7,2,14,14,9
1,0,6,8,2,26,16,26
1,1,6,6,2,47,17,24
1,0,1,10,3,40,18,30
0,0,3,2,0,3,17,8
1,1,1,6,2,132,18,5
0,0,0,8,2,50,13,13
1,0,5,9,3,19,7,22
1,0,6,3,1,40,15,11
1,1,6,3,1,11,7,4
1,0,3,6,2,78,15,21
1,0,5,8,2,30,10,18
1,0,4,4,1,72,18,20
0,0,0,4,1,8,14,16
1,1,5,10,3,16,11,20
0,0,2,6,2,21,22,13
0,0,3,3,1,36,12,8
0,0,4,12,0,14,16,21
0,1,6,10,3,22,9,28
1,0,1,8,2,44,18,21
1,0,6,6,2,110,20,10
1,1,5,7,2,44,19,7
0,0,1,12,0,12,10,4
0,0,2,7,2,60,13,25
0,0,5,9,3,27,17,29
0,1,6,3,1,23,8,25
0,1,4,12,0,5,8,21
1,0,0,10,3,35,15,8
1,0,3,4,1,44,18,5
0,1,1,10,3,21,1,23
1,1,6,12,0,29,16,2
1,1,3,5,1,2,18,17
1,0,3,4,1,7,8,19
1,0,6,7,2,47,12,8
0,0,0,3,1,27,11,26
1,0,4,8,2,7,19,17
1,1,4,1,0,4,8,19
1,0,2,11,3,57,20,14
0,1,4,4,1,38,9,20
1,0,6,8,2,14,0,5
0,0,3,8,2,2,21,23
0,0,6,10,3,3,1,28
0,0,0,8,2,87,9,20
1,1,4,1,0,15,14,26
1,0,0,5,1,76,13,28
0,1,2,9,3,122,18,26
0,1,3,12,0,6,1,13
1,0,2,9,3,12,12,19
1,1,1,1,0,9,5,16
1,1,5,5,1,26,15,12
0,0,0,6,2,7,5,25
0,0,1,6,2,43,18,19
0,0,4,5,1,27,7,18
1,0,3,2,0,9,9,1
0,1,2,4,1,6,5,4
1,1,1,8,2,28,14,21
1,0,6,5,1,11,6,20
1,1,6,7,2,43,18,29
0,1,0,1,0,26,17,8
0,0,3,4,1,50,20,12
1,0,6,4,1,23,23,22
1,0,4,5,1,69,22,25
0,1,3,11,3,10,15,15
1,1,4,4,1,15,15,13
1,1,3,8,2,4,18,23
0,0,0,6,2,49,0,25
0,1,1,7,2,5,7,24
0,0,5,5,1,14,23,26
1,1,1,11,3,56,7,6
0,1,4,2,0,17,8,23
0,0,3,11,3,3,15,1
1,0,1,8,2,5,11,14
0,0,4,11,3,25,22,16
0,0,1,1,0,33,8,9
0,1,1,7,2,37,12,10
1,0,4,3,1,19,20,16
1,0,0,9,3,6,15,10
